record_id,model_label,extraction_field,label_normalized,quote_words,verification,ngram_coverage,quote
F011_41146083,DeepSeek-V4-Flash,theoretical_frameworks,progress conceptual framework,12,unverified,0.5,Social Determinants of Health (SDH) were investigated using the PROGRESS conceptual framework
F023_39200209,DeepSeek-V4-Flash,key_quotes,integrative,30,unverified,0.5769230769230769,"insecure attachment, in a synergistic relationship with the stressful events of childhood, could represent the 'primum movens' capable of sensitizing the threat system during the 'sensitive period' of brain development."
F031_41271275,DeepSeek-V4-Flash,theoretical_frameworks,misdirected problem-solving model,10,unverified,0.42857142857142855,what Eccleston and Crombez described as the 'misdirected problem-solving model'
F041_40522393,DeepSeek-V4-Flash,psychological_concepts,kognitive umstrukturierung,19,unverified,0.25,"Dysfunktionale Überzeugungen wie 'Schmerz bedeutet Schaden' oder 'Mein Körper ist kaputt' werden hinterfragt und durch realistische, hilfreiche Gedanken ersetzt."
F041_40522393,DeepSeek-V4-Flash,psychological_concepts,dysfunktionale überzeugungen,13,unverified,0.0,Dysfunktionale Überzeugungen wie 'Schmerz bedeutet Schaden' oder 'Mein Körper ist kaputt' werden hinterfragt
F043_40495824,DeepSeek-V4-Flash,conceptual_problems,parallel_listing_without_integration,22,unverified,0.4444444444444444,the biological dimension would include... The psychological dimension would continue to consider... The functional dimension would emphasize... The social dimension would maintain
F023_39200209,Nex-N2-Mini,psychological_concepts,threat system,20,unverified,0.5,high perception of threat; a reduced activity of the soothing affiliative system; a persistent activation of the brain’s salience network
F023_39200209,Nex-N2-Mini,psychological_concepts,soothing system,20,unverified,0.5,high perception of threat; a reduced activity of the soothing affiliative system; a persistent activation of the brain’s salience network
F004_41492309,Laguna-XS-2.1,domain_evidence,biological,32,unverified,0.5714285714285714,Eight studies reported on the association between age and chronic pain after THA... Eight studies included Body Mass Index (BMI)... Preoperative pain sensitization was studied in three studies... Three studies mentioned comorbidity.
F010_41221343,Laguna-XS-2.1,integration_claims,psych_social,16,unverified,0.5,"Psychological and social factors (stress, catastrophizing, maladaptive coping) further amplify pain through neuroimmune and central pathways"
F010_41221343,Laguna-XS-2.1,conceptual_problems,mechanistic_absence,16,unverified,0.5,"Psychological and social factors (stress, catastrophizing, maladaptive coping) further amplify pain through neuroimmune and central pathways"
F010_41221343,Laguna-XS-2.1,conceptual_problems,measurement_mismatch,28,unverified,0.5384615384615384,"Another limitation is the lack of standardized terminology. Terms such as 'myofascial pain,' 'fasciopathy,' and 'fascial dysfunction' are used inconsistently, making it difficult to synthesize findings across studies"
F010_41221343,Laguna-XS-2.1,key_quotes,integrative,16,unverified,0.5,"Psychological and social factors (stress, catastrophizing, maladaptive coping) further amplify pain through neuroimmune and central pathways"
F011_41146083,Laguna-XS-2.1,domain_evidence,social,41,unverified,0.0,"The socio-demographic domain includes age, gender, education, civil status, place of living, ethnicity, socio-economic status. The socio-occupational domain includes work status, employment form, physical work characteristics, psychosocial work factors. The socio-environmental domain includes social support, social functioning, financial support, coping strategies."
F017_40101218,Laguna-XS-2.1,key_quotes,theoretical,24,unverified,0.5909090909090909,Chronic pain is subsumed under the category of 'somatic symptom and related disorders' (SSDs) in the Diagnostic and Statistical Manual of mental disorders (DSM-5-TR).
F023_39200209,Laguna-XS-2.1,key_quotes,theoretical,30,unverified,0.5769230769230769,"Insecure attachment, in a synergistic relationship with the stressful events of childhood, could represent the 'primum movens' capable of sensitizing the threat system during the 'sensitive period' of brain development."
F025_41188763,Laguna-XS-2.1,key_quotes,critical or problematizing,9,unverified,0.4,Simply 'controlling for' sex or gender is not recommended.
F037_40731802,Laguna-XS-2.1,theoretical_frameworks,sex as a biological variable (sabv),23,unverified,0.55,"In 2016, the National Institutes of Health (NIH) introduced the 'Sex as a Biological Variable' policy, requiring NIH-funded research to consider sex differences."
F044_40473903,Laguna-XS-2.1,conceptual_problems,measurement_mismatch,51,unverified,0.48936170212765956,Only three spirituality items in our review 'My soul hurts' (from the Psychological Pain Scale) and 'I ask God to relieve me of my pains' and 'I use faith to alleviate my pains' from the Chronic Pain Coping Questionnaire were considered uncontaminated items according to the work of Koenig and Carey
F047_39338018,Laguna-XS-2.1,integration_claims,psych_social,18,unverified,0.5333333333333333,Discussions about issues in the work and social environments (social component) are integrated with cognitive–behavioral treatment (psychological component).
