record_id,model_order,model_label,provider,model_id,review_type,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model
A001_42403485,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,yes,no,no,music therapy,biopsychosocial framework,tokenistic_bps | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Narrative review of acoustic stimulation for pain management; chronic pain unspecified. BPS is background, with neurobiology and music therapy but no social content, so BPS is partial/tokenistic.",llm_structured,nex-agi/nex-n2-mini
A002_42385067,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,integrative review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,yes,no,self-management | active participation,,missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Integrative review of chronic pain self-management in work contexts; BPS is used to justify workplace/employer involvement. Social content is strong, biology absent, and domains are listed rather than integrated; musculoskeletal relevance is not ruled out.",llm_structured,nex-agi/nex-n2-mini
A003_42080121,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,organizing principle,yes,yes,yes,no,cognitive behavioral therapy,geroscience | precision geriatrics | biopsychosocial framework,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,"Myofascial pain is musculoskeletal; abstract names geroscience/pathophysiology, CBT, and healthcare delivery/access. BPS organizes multimodal care, so it is multifactorial rather than fully integrative.",llm_structured,nex-agi/nex-n2-mini
A004_41976799,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,chronic secondary headache or orofacial pain,yes,explanatory framework,yes,yes,no,yes,catastrophizing | depression | pain catastrophizing | behavioral factors,biopsychosocial model,missing_social | parallel_listing_without_integration,pseudo-bps or partial signal,yes,high,"TMD/orofacial pain review applies BPS to prognostic predictors; bio and psych domains are substantive, social predictors are rare. Social thinness yields partial BPS signal; risk of bias assessed.",llm_structured,nex-agi/nex-n2-mini
A005_41930351,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,no,no,no,,biopsychosocial model | precision medicine | pathophysiological subtyping | neurobiological model,missing_social,pseudo-bps or partial signal,yes,medium,"BPS is framed as distinct mechanisms, but the abstract focuses mainly on molecular/pathophysiological mechanisms, precision medicine, diagnosis, and treatment; psychosocial content is not substantive.",llm_structured,nex-agi/nex-n2-mini
A006_41897178,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,integrative review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,yes,yes,coping | stress | resilience | psychological distress | maladaptive coping,biopsychosocial model | whittemore and knaf framework,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"CNCP review organizes BPS/cultural domains as themes and links them to outcomes; all domains are substantive but mostly parallel, with musculoskeletal scope unspecified.",llm_structured,nex-agi/nex-n2-mini
A007_41868689,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,yes,yes,yes,acceptance | biomedical beliefs | skepticism | personal relevance | confidence,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,"Directly chronic musculoskeletal; qualitative systematic review of PNE acceptance. BPS frames intervention targets; findings parallel biomedical beliefs, psychological factors, and clinical/social context, with JBI/ConQual appraisal.",llm_structured,nex-agi/nex-n2-mini
A008_41783653,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,yes,resilience | mental health | psychological resilience,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"Systematic review of postpartum recovery with persistent pain as an outcome; BPS appears as a personalized care approach. Physical, mental, and socioeconomic/social-support factors are listed in parallel, so provisional typology is multifactorial; MSK relevance remains unclear.",llm_structured,nex-agi/nex-n2-mini
A009_41774945,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,yes,no,resilience | feelings | emotional resilience | behaviours | knowledge and skills | self-empowerment | self-enablement | self-reliance | interoception | body awareness,self framework | biopsychosocial-societal approach,none,potential integrative signal,yes,medium,"Conceptual interdisciplinary framework uses BPS-societal domains across social, psychological, and brain-body/movement content; chronic pain family is unspecified, so musculoskeletal relevance is unclear and warrants full-text review.",llm_structured,nex-agi/nex-n2-mini
A010_41619996,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | stress regulation | cognitive-affective processing,biopsychosocial model,none,potential integrative signal,yes,medium,"Broad chronic pain opinion review; BPS is substantively used across interacting bio/psych/social domains to frame oxytocin management, but MSK scope is not specified.",llm_structured,nex-agi/nex-n2-mini
A011_41591584,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | emotional distress | pain-related behaviors | cognitive factors | affective factors | cognitive-behavioral treatment,biopsychosocial model | neuromatrix theory,none,potential integrative signal,yes,medium,"Substantive bio/psych/social content and explicit BPS/neuromatrix framing signal integration beyond listing; chronic pain family is unspecified, so MSK relevance remains uncertain.",llm_structured,nex-agi/nex-n2-mini
A012_41519680,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,no,organizing principle,yes,yes,yes,no,implicit bias | stigma | provider attitudes | pain perception | psychosocial functioning | drug-seeking labeling,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,"SCD chronic pain review of disparities; BPS is invoked to frame psychosocial, clinical, and social factors, with parallel domain listing and no quality appraisal.",llm_structured,nex-agi/nex-n2-mini
A013_41492309,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,chronic postsurgical or posttraumatic pain,yes,intervention rationale,yes,yes,yes,yes,catastrophizing | depression | anxiety | sleep disturbances | depressive symptoms | pain catastrophizing,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,"Hip replacement/osteoarthritis chronic postsurgical pain is musculoskeletal. BPS risk factors are listed across biological, psychological and social domains, with multimodal optimization as the main use, but no integration mechanism is specified.",llm_structured,nex-agi/nex-n2-mini
A014_41456977,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,integrative review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | cognitive impairment | psychological disturbances | stress response,biopsychosocial framework | whittemore and knaf,none,potential integrative signal,yes,medium,"Integrative review of chronic pain/cognitive impairment; BPS biological, psychological, and socioeconomic factors are integrated via mediators/moderators. Chronic pain family is unspecified, so musculoskeletal relevance remains unclear.",llm_structured,nex-agi/nex-n2-mini
A015_41371390,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,no,no,stress | chronic stress,biopsychosocial oa model,missing_social,pseudo-bps or partial signal,yes,high,"OA is chronic secondary musculoskeletal pain; abstract presents a BPS model with biological and stress/sleep mechanisms but no social content, so it is a partial BPS signal for musculoskeletal full-text review.",llm_structured,nex-agi/nex-n2-mini
A016_41271285,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,no,no,yes,no,,biopsychosocial model,missing_biology,pseudo-bps or partial signal,yes,medium,"BPS guides overview of chronic pain in older adults and caregivers, with dyadic clinical management; social/caregiver content is substantive, but biological/psychological mechanisms or constructs are not detailed.",llm_structured,nex-agi/nex-n2-mini
A017_41271276,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,unclear,yes,no,yes,no,,geriatric 5ms | age-friendly health systems,parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Clinical chronic-pain care review using the geriatric 5Ms/interdisciplinary care; medication and health-system/team content are substantive, psychological evidence is thin, and domains are listed rather than integrated.",llm_structured,nex-agi/nex-n2-mini
A018_41271275,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,no,no,expectations | communication | coaching,biopsychosocial model,missing_social | vague_definition | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"BPS is used to structure pain-care principles, with psych content and pain-modulatory interventions but no substantive social domain.",llm_structured,nex-agi/nex-n2-mini
A019_41058307,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,umbrella review,clinical,llm_structured,chronic secondary headache or orofacial pain,yes,intervention rationale,yes,yes,no,yes,patient education | behavioural therapy,biopsychosocial model,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,"TMD involves masticatory muscles/joints and jaw exercises (bio), with education/behavioural therapy (psych); BPS mainly justifies self-management, but no social determinants or social context are described.",llm_structured,nex-agi/nex-n2-mini
A020_40748548,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,no,stress | hypnosis | meditation | motivational interviewing | cognitive interventions | psychological factors | sleep,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"Chronic pain psychotherapy review uses BPS to justify hypnosis-centered modules; medical/opioid, psychological, and work/productivity content are present, but domains are mainly listed with limited integration or mechanism.",llm_structured,nex-agi/nex-n2-mini
A021_40089399,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,chronic postsurgical or posttraumatic pain,no,organizing principle,yes,yes,no,no,stress | pain-related distress,biopsychosocial model,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,"Narrative CPSP definition review: BPS appears mainly as ICD-11 multifactorial assessment with biology and distress, no social domain or integration; postsurgical pain is not musculoskeletal.",llm_structured,nex-agi/nex-n2-mini
